timestamps,open,high,low,close,volume,amount
2024-06-18 11:15:00,11.27,11.28,11.26,11.27,379.0,427161.0
2024-06-18 11:20:00,11.27,11.28,11.27,11.27,277.0,312192.0
2024-06-18 11:25:00,11.27,11.27,11.26,11.27,380.0,427954.0
2024-06-18 11:30:00,11.26,11.27,11.26,11.27,761.0,856971.0
2024-06-18 13:05:00,11.27,11.27,11.25,11.26,1439.0,1620733.0
2024-06-18 13:10:00,11.26,11.26,11.25,11.25,529.0,595311.0
2024-06-18 13:15:00,11.26,11.27,11.25,11.26,389.0,438017.0
2024-06-18 13:20:00,11.26,11.32,11.26,11.32,4459.0,5037553.0
2024-06-18 13:25:00,11.32,11.32,11.3,11.31,2551.0,2886053.0
2024-06-18 13:30:00,11.31,11.33,11.3,11.32,1185.0,1340985.0
2024-06-18 13:35:00,11.32,11.33,11.31,11.32,1296.0,1467314.0
2024-06-18 13:40:00,11.33,11.33,11.3,11.3,1229.0,1390698.0
2024-06-18 13:45:00,11.31,11.31,11.3,11.3,568.0,641846.0
2024-06-18 13:50:00,11.3,11.32,11.3,11.31,1168.0,1321141.0
2024-06-18 13:55:00,11.31,11.31,11.29,11.29,867.0,979738.0
2024-06-18 14:00:00,11.3,11.3,11.28,11.29,1026.0,1158037.0
2024-06-18 14:05:00,11.28,11.3,11.28,11.29,752.0,849034.0
2024-06-18 14:10:00,11.29,11.3,11.28,11.29,284.0,320630.0
2024-06-18 14:15:00,11.29,11.3,11.29,11.29,485.0,547861.0
2024-06-18 14:20:00,11.29,11.3,11.29,11.29,246.0,277867.0
2024-06-18 14:25:00,11.3,11.3,11.29,11.3,188.0,212415.0
2024-06-18 14:30:00,11.29,11.31,11.29,11.3,469.0,529984.0
2024-06-18 14:35:00,11.3,11.31,11.29,11.3,935.0,1057044.0
2024-06-18 14:40:00,11.3,11.32,11.3,11.31,978.0,1106460.0
2024-06-18 14:45:00,11.32,11.32,11.31,11.31,524.0,592817.0
2024-06-18 14:50:00,11.32,11.33,11.31,11.31,1758.0,1990407.0
2024-06-18 14:55:00,11.31,11.33,11.31,11.31,1173.0,1327496.0
2024-06-18 15:00:00,11.31,11.32,11.31,11.32,2019.0,2284686.0
2024-06-19 09:35:00,11.36,11.37,11.32,11.35,5606.0,6361534.0
2024-06-19 09:40:00,11.35,11.35,11.3,11.3,1773.0,2006819.0
2024-06-19 09:45:00,11.31,11.34,11.31,11.33,1108.0,1254369.0
2024-06-19 09:50:00,11.34,11.35,11.31,11.33,1162.0,1316325.0
2024-06-19 09:55:00,11.33,11.34,11.31,11.31,940.0,1064577.0
2024-06-19 10:00:00,11.31,11.32,11.3,11.31,902.0,1019926.0
2024-06-19 10:05:00,11.31,11.31,11.28,11.28,1996.0,2253586.0
2024-06-19 10:10:00,11.28,11.3,11.27,11.28,1654.0,1865591.0
2024-06-19 10:15:00,11.28,11.3,11.27,11.27,1256.0,1416821.0
2024-06-19 10:20:00,11.27,11.28,11.26,11.26,1431.0,1612514.0
2024-06-19 10:25:00,11.26,11.27,11.25,11.26,1885.0,2121914.0
2024-06-19 10:30:00,11.26,11.27,11.25,11.25,631.0,710455.0
2024-06-19 10:35:00,11.25,11.27,11.25,11.26,339.0,381780.0
2024-06-19 10:40:00,11.26,11.27,11.26,11.26,659.0,742174.0
2024-06-19 10:45:00,11.26,11.27,11.25,11.26,582.0,655187.0
2024-06-19 10:50:00,11.27,11.27,11.25,11.26,846.0,952340.0
2024-06-19 10:55:00,11.26,11.27,11.24,11.24,880.0,989908.0
2024-06-19 11:00:00,11.24,11.25,11.23,11.25,1588.0,1784353.0
2024-06-19 11:05:00,11.25,11.25,11.24,11.25,268.0,301270.0
2024-06-19 11:10:00,11.24,11.25,11.23,11.23,803.0,902030.0
2024-06-19 11:15:00,11.23,11.24,11.22,11.22,760.0,853730.0
2024-06-19 11:20:00,11.23,11.23,11.22,11.23,563.0,633249.0
